at_parsed,reviewId
2018-09-30,124
2018-10-31,222
2018-11-30,267
2018-12-31,305
2019-01-31,450
2019-02-28,269
2019-03-31,263
2019-04-30,263
2019-05-31,362
2019-06-30,355
2019-07-31,410
2019-08-31,504
2019-09-30,417
2019-10-31,948
2019-11-30,439
2019-12-31,428
2020-01-31,393
2020-02-29,363
2020-03-31,440
2020-04-30,500
2020-05-31,682
2020-06-30,532
2020-07-31,641
2020-08-31,621
2020-09-30,535
2020-10-31,632
2020-11-30,612
2020-12-31,592
2021-01-31,665
2021-02-28,761
2021-03-31,2647
2021-04-30,1209
2021-05-31,1318
2021-06-30,978
2021-07-31,693
2021-08-31,617
2021-09-30,658
2021-10-31,803
2021-11-30,674
2021-12-31,710
2022-01-31,568
2022-02-28,509
2022-03-31,607
2022-04-30,1128
2022-05-31,777
2022-06-30,796
2022-07-31,647
2022-08-31,645
2022-09-30,658
2022-10-31,542
2022-11-30,580
2022-12-31,671
2023-01-31,537
2023-02-28,439
2023-03-31,500
2023-04-30,548
2023-05-31,547
2023-06-30,984
2023-07-31,709
2023-08-31,754
2023-09-30,572
2023-10-31,565
2023-11-30,1857
2023-12-31,1875
2024-01-31,1825
2024-02-29,1627
2024-03-31,2081
2024-04-30,1740
2024-05-31,2652
2024-06-30,2356
2024-07-31,2801
2024-08-31,2384
2024-09-30,2101
2024-10-31,1635
2024-11-30,1736
2024-12-31,2186
2025-01-31,1784
2025-02-28,1400
2025-03-31,1281
2025-04-30,1239
2025-05-31,1250
2025-06-30,1360
2025-07-31,1242
2025-08-31,1033
2025-09-30,1060
2025-10-31,1166
2025-11-30,1108
2025-12-31,870
